station_name,line_code,line_name,deliver_no,customer_code,customer_name,longitude,latitude,order_cycle_type,order_weekday,city_village_code,avg_order_qty,distance_to_平城直送,distance_to_灵丘中转站,distance_to_太原直送,nearest_station,distance_to_station,province,city,district,township,full_address,lon_84,lat_84,grid_id,LonGridCenter,LatGridCenter,group,customer_osmid_mapping,OSM_X,OSM_Y,BB_RETAIL_CUSTOMER_CODE,kmeans_cluster
太原直送,CLFS011,CLFS011,20,140123101285,娄烦***便利店,111.913275,37.936391,1.0,3.0,220.0,14.5,2.518241727023043,2.768995765565017,0.6151652274210577,太原直送,0.6151652274210577,山西省,太原市,娄烦县,天池店乡,山西省太原市娄烦县天池店乡建国批发部,111.90696574900578,37.93594189424788,66_104,111.9097992623324,37.93396714146798,3.0,2330914462.0,111.9492681,37.9347564,140123101285.0,1
太原直送,CLFS011,CLFS011,38,140123101286,娄烦***门市部,111.706956,37.977716,1.0,3.0,220.0,30.33,2.6035850047382696,2.922882927460654,0.820345676588834,太原直送,0.820345676588834,山西省,太原市,娄烦县,米峪镇乡,山西省太原市娄烦县米峪镇乡潘岔线,111.70044745909809,37.97713080631293,30_114,111.70125384651472,37.97893319353221,3.0,2330946368.0,111.7115589,37.9877916,140123101286.0,1
太原直送,BLFS011,BLFS011,91,140123101287,娄烦***品杂货店,111.784628,38.060326,1.0,2.0,121.0,11.67,2.490811337996113,2.8143555904016453,0.7476719366901531,太原直送,0.7476719366901531,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇左左香老潼关肉夹馍御景苑小区,111.77809176454984,38.05974573406135,43_132,111.7765619133378,38.05987208724783,3.0,2330954500.0,111.7784277,38.061106,140123101287.0,1
太原直送,ALFS011,ALFS011,31,140123101290,娄烦***便利店,111.914267,38.085587,1.0,1.0,220.0,48.67,2.3940509528429046,2.6894810241719544,0.6231093478772451,太原直送,0.6231093478772451,山西省,太原市,娄烦县,杜交曲镇,山西省太原市娄烦县杜交曲镇宁白线,111.90793985178976,38.08516902414181,66_138,111.9097992623324,38.08685171848636,4.0,4506900931.0,111.907885,38.0827344,140123101290.0,1
太原直送,CLFS011,CLFS011,39,140123101292,娄烦***边商店,111.706817,37.977454,1.0,3.0,220.0,16.67,2.6038775765171804,2.9231349903776223,0.8204835121420777,太原直送,0.8204835121420777,山西省,太原市,娄烦县,米峪镇乡,山西省太原市娄烦县米峪镇乡潘岔线,111.70030875784168,37.97686895369628,30_114,111.70125384651472,37.97893319353221,3.0,2330946368.0,111.7115589,37.9877916,140123101292.0,1
太原直送,CLFS011,CLFS011,135,140123101293,娄烦***食门市部,111.813025,38.073671,1.0,3.0,121.0,67.0,2.4630755784465928,2.7830736262910865,0.7211965403466698,太原直送,0.7211965403466698,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇君宇大街,111.80654358883253,38.073137034663546,48_135,111.80552655442357,38.07336190286709,4.0,2330954586.0,111.8044451,38.0722748,140123101293.0,1
太原直送,BLFS011,BLFS011,20,140123101294,娄烦***上门市,111.855492,38.18001,1.0,2.0,220.0,17.0,2.352666513726497,2.6945173058611065,0.7026949495264675,太原直送,0.7026949495264675,山西省,太原市,娄烦县,静游镇,山西省太原市娄烦县静游镇静上线,111.8490987367481,38.17957264453442,56_159,111.85186998016084,38.18128042782124,4.0,5236795931.0,111.8492306,38.1798595,140123101294.0,1
太原直送,BLFS011,BLFS011,58,140123101296,娄烦***便利店,111.78011,38.175139,1.0,2.0,220.0,73.33,2.403098976010145,2.7634718053130234,0.7737973028545727,太原直送,0.7737973028545727,山西省,太原市,娄烦县,静游镇,山西省太原市娄烦县静游镇001乡道,111.77355345457605,38.17457573017239,42_158,111.77076898512064,38.176783822614816,4.0,2360739637.0,111.7744098,38.1748525,140123101296.0,1
太原直送,DLFS011,DLFS011,126,140123101298,娄烦***顺超市,111.810205,38.072698,1.0,4.0,121.0,54.0,2.4655440335587184,2.7860058562325394,0.723856166492354,太原直送,0.723856166492354,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇东方红宾馆(南大街店)娄烦县第二中学,111.80371720519292,38.07215883789278,48_135,111.80552655442357,38.07336190286709,4.0,2330954586.0,111.8044451,38.0722748,140123101298.0,1
太原直送,BLFS011,BLFS011,120,140123101299,娄烦***堂商行,111.805553,38.065666,1.0,2.0,121.0,63.0,2.4739612885461617,2.7935288167781582,0.7275450063941034,太原直送,0.7275450063941034,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇滨河南路鸿业小区,111.79905564997668,38.06511736978139,47_133,111.79973362620642,38.064368692454245,3.0,4506898280.0,111.7987724,38.0650771,140123101299.0,1
