station_name,line_code,line_name,deliver_no,customer_code,customer_name,longitude,latitude,order_cycle_type,order_weekday,city_village_code,avg_order_qty,distance_to_平城直送,distance_to_灵丘中转站,distance_to_太原直送,nearest_station,distance_to_station,province,city,district,township,full_address,lon_84,lat_84,grid_id,LonGridCenter,LatGridCenter,group,customer_osmid_mapping,OSM_X,OSM_Y,BB_RETAIL_CUSTOMER_CODE,kmeans_cluster,dbscan_label,kmeans_label
太原直送,CWLS029,CWLS029,69,140106101112,（金***利上马街店,112.580849,37.867641,1.0,3.0,111.0,30.33,2.29056813757286,2.2869594978365915,0.1190309217808546,太原直送,0.1190309217808546,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道上马街光华苑,112.57460357730297,37.86716106074758,181_89,112.57598600730554,37.86651806337164,1.0,4213130128.0,112.5744273,37.8671204,140106101112.0,0,0,62
太原直送,CWLS025,CWLS025,92,140106102594,太原***誉副食店,112.58507,37.853925,1.0,3.0,111.0,94.33,2.302326140167158,2.293439066245275,0.1332009836788024,太原直送,0.1332009836788024,山西省,太原市,迎泽区,桥东街道,山西省太原市迎泽区桥东街道新生里新生里-道路停车位,112.57882899842365,37.85344546945445,181_86,112.57598600730554,37.85302824775237,1.0,4171963026.0,112.5794841,37.8535693,140106102594.0,0,0,62
太原直送,CWLS025,CWLS025,56,140106102685,（唐***耀唐久便利店,112.585595,37.862139,1.0,3.0,112.0,60.33,2.294344847379313,2.287351914106136,0.1260922583666403,太原直送,0.1260922583666403,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道建设北路北仓大厦,112.57935332878296,37.86166113821552,182_88,112.5817789355227,37.862021458165216,1.0,3667222388.0,112.5791959,37.8617944,140106102685.0,0,0,62
太原直送,CWLS026,CWLS026,79,140106103017,太原***长便利店,112.58235,37.85494,1.0,3.0,111.0,85.0,2.302191761726636,2.294687232170209,0.1311220319320913,太原直送,0.1311220319320913,山西省,太原市,迎泽区,桥东街道,山西省太原市迎泽区桥东街道东岗东巷东岗社区,112.57610717283168,37.85445896341876,181_86,112.57598600730554,37.85302824775237,1.0,2012116123.0,112.5762444,37.8545126,140106103017.0,0,0,62
太原直送,CWLS027,CWLS027,50,140106103624,太原***烟酒商店,112.576626,37.858636,1.0,3.0,111.0,34.67,2.300437279401028,2.296242146530062,0.1254171006601601,太原直送,0.1254171006601601,山西省,太原市,迎泽区,桥东街道,山西省太原市迎泽区桥东街道迎泽南街,112.57037775544072,37.85815097262788,180_87,112.57019307908838,37.85752485295879,1.0,1881762729.0,112.570315,37.858126,140106103624.0,0,0,62
太原直送,CWLS029,CWLS029,66,140106105036,太原***云粮油店,112.582019,37.867864,1.0,3.0,111.0,59.67,2.289995106397611,2.285960622359448,0.1193636850847044,太原直送,0.1193636850847044,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道山右巷山佑巷住宅小区,112.57577444036716,37.86738493989386,181_89,112.57598600730554,37.86651806337164,1.0,6947232889.0,112.5756123,37.867099,140106105036.0,0,0,62
太原直送,CWLS026,CWLS026,71,140106105509,太原***时修烟店,112.579783,37.854515,1.0,3.0,111.0,15.0,2.3033841875449244,2.296828432324229,0.1304540044766753,太原直送,0.1304540044766753,山西省,太原市,迎泽区,桥东街道,山西省太原市迎泽区桥东街道东岗东巷桥东新生里小区,112.57353821766742,37.85403200657334,181_86,112.57598600730554,37.85302824775237,1.0,1890460415.0,112.5739863,37.8564938,140106105509.0,0,0,62
太原直送,CWLS027,CWLS027,100,140106105631,太原***百货商店,112.582093,37.860779,1.0,3.0,111.0,55.67,2.2967134019628985,2.2908170593159527,0.1257343664079136,太原直送,0.1257343664079136,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道五一东街南一巷万邦国际,112.57584931380518,37.86029877113043,181_88,112.57598600730554,37.862021458165216,1.0,1108624792.0,112.5759183,37.8599475,140106105631.0,0,0,62
太原直送,CWLS027,CWLS027,98,140106106972,太原***毅小卖部,112.582522,37.864684,1.0,3.0,111.0,16.67,2.2928656724705907,2.2878002169168994,0.1224245544080108,太原直送,0.1224245544080108,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道新城南街20号新城街小区东区,112.57627816620436,37.864204731152284,181_88,112.57598600730554,37.862021458165216,1.0,1108624751.0,112.5758648,37.8646096,140106106972.0,0,0,62
太原直送,CWLS026,CWLS026,63,140106107435,太原***副食商店,112.583141,37.855549,1.0,3.0,111.0,63.33,2.301369716891222,2.293695269640017,0.1309050737748485,太原直送,0.1309050737748485,山西省,太原市,迎泽区,桥东街道,山西省太原市迎泽区桥东街道桥东小环路百融居小区,112.57689864328792,37.85506858643835,181_86,112.57598600730554,37.85302824775237,1.0,1890460420.0,112.5762391,37.8549915,140106107435.0,0,0,62
太原直送,CWLS026,CWLS026,62,140106107833,太原***副食商店,112.582997,37.856773,1.0,3.0,111.0,67.0,2.3002486794953283,2.292948057226108,0.129737213304437,太原直送,0.129737213304437,山西省,太原市,迎泽区,桥东街道,山西省太原市迎泽区桥东街道桥东小环路12号新街小区,112.5767544059298,37.856292698466525,181_87,112.57598600730554,37.85752485295879,1.0,1890460279.0,112.5776935,37.8565798,140106107833.0,0,0,62
太原直送,CWLS025,CWLS025,65,140106108335,太原***酒副食店,112.586664,37.863371,1.0,3.0,112.0,31.33,2.2928448483290347,2.2857272067549954,0.1255033179840251,太原直送,0.1255033179840251,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道同站西巷巴黎站前,112.58042270799362,37.86289389088668,182_88,112.5817789355227,37.862021458165216,1.0,7795687669.0,112.5805071,37.8631805,140106108335.0,0,0,62
太原直送,CWLS029,CWLS029,64,140106109852,（唐***晨唐久便利店,112.582165,37.86752,1.0,3.0,111.0,46.0,2.290277364158541,2.286093382215605,0.1197363408201546,太原直送,0.1197363408201546,山西省,太原市,迎泽区,文庙街道,山西省太原市迎泽区文庙街道新城北街太原市成成中学校(成才校区),112.57592058554953,37.867040980542406,181_89,112.57598600730554,37.86651806337164,1.0,1108624779.0,112.5759718,37.8670702,140106109852.0,0,0,62
