station_name,line_code,line_name,deliver_no,customer_code,customer_name,longitude,latitude,order_cycle_type,order_weekday,city_village_code,avg_order_qty,distance_to_平城直送,distance_to_灵丘中转站,distance_to_太原直送,nearest_station,distance_to_station,province,city,district,township,full_address,lon_84,lat_84,grid_id,LonGridCenter,LatGridCenter,group,customer_osmid_mapping,OSM_X,OSM_Y,BB_RETAIL_CUSTOMER_CODE,kmeans_cluster,dbscan_label,kmeans_label
太原直送,BWLS007,BWLS007,208,140110118723,（金***金虎便利店,112.523053,37.764719,1.0,2.0,111.0,41.67,2.4064164555695657,2.400147887121329,0.2092669581563213,太原直送,0.2092669581563213,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇西寨南街晋阳湖壹号,112.5166884276086,37.76411545541189,171_66,112.51805672513396,37.76309614362391,1.0,5418460636.0,112.5145777,37.7641552,140110118723.0,0,0,87
太原直送,BWLS007,BWLS007,206,140110118763,太原***柏便利店,112.523053,37.764719,1.0,2.0,111.0,88.33,2.4064164555695657,2.400147887121329,0.2092669581563213,太原直送,0.2092669581563213,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇西寨南街晋阳湖壹号,112.5166884276086,37.76411545541189,171_66,112.51805672513396,37.76309614362391,1.0,5418460636.0,112.5145777,37.7641552,140110118763.0,0,0,87
太原直送,BWLS007,BWLS007,205,140110118960,太原***清便利店,112.52462,37.770303,1.0,2.0,111.0,59.0,2.4006239796430022,2.3951127984067893,0.203657542283609,太原直送,0.203657542283609,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇健康西路西寨社区,112.5182600989698,37.76970434846535,171_67,112.51805672513396,37.76759274883033,1.0,6901299567.0,112.5182837,37.7684674,140110118960.0,0,0,87
太原直送,BWLS007,BWLS007,219,140110119137,（唐***唐久便利店,112.524703,37.770976,1.0,2.0,111.0,55.33,2.3999595179012925,2.394581657795364,0.2029835244274776,太原直送,0.2029835244274776,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇健康西路西寨社区,112.51834330057166,37.77037764604352,171_68,112.51805672513396,37.77208935403676,1.0,7012247665.0,112.5182932,37.7714636,140110119137.0,0,0,87
太原直送,BWLS007,BWLS007,209,140110119186,太原***鲜便利店,112.523053,37.764719,1.0,2.0,111.0,75.33,2.4064164555695657,2.400147887121329,0.2092669581563213,太原直送,0.2092669581563213,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇西寨南街晋阳湖壹号,112.5166884276086,37.76411545541189,171_66,112.51805672513396,37.76309614362391,1.0,5418460636.0,112.5145777,37.7641552,140110119186.0,0,0,87
太原直送,BWLS007,BWLS007,182,140110119217,太原***宝利超市,112.522456,37.760256,1.0,2.0,111.0,24.33,2.410837924842314,2.403708495338189,0.2137417379409085,太原直送,0.2137417379409085,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇健康北街万景苑,112.5160899051206,37.75965036502779,171_65,112.51805672513396,37.758599538417485,1.0,7012237582.0,112.5143137,37.7599068,140110119217.0,0,0,87
太原直送,BWLS007,BWLS007,210,140110119357,太原***华便利店,112.533042,37.762824,1.0,2.0,111.0,56.0,2.405059378334347,2.3943813646796124,0.2111972612559132,太原直送,0.2111972612559132,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇富力湾(西门),112.52671040196572,37.76224698659525,172_66,112.52384965335112,37.76309614362391,1.0,4226852865.0,112.5256849,37.7641021,140110119357.0,0,0,87
太原直送,BWLS007,BWLS007,203,140110119387,太原***贵便利店,112.524723,37.770997,1.0,2.0,111.0,24.33,2.3999332479258664,2.394552673258412,0.2029622719029299,太原直送,0.2029622719029299,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇健康西路西寨社区,112.5183633656248,37.77039870317441,171_68,112.51805672513396,37.77208935403676,1.0,7012247665.0,112.5182932,37.7714636,140110119387.0,0,0,87
太原直送,BWLS007,BWLS007,185,140110119424,太原***杰烟酒店,112.524181,37.760466,1.0,2.0,111.0,83.0,2.4100916056600403,2.4023343441881675,0.2134996816695493,太原直送,0.2134996816695493,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇健康北街丰沃·悦湖城,112.51782076340172,37.75986517137443,171_65,112.51805672513396,37.758599538417485,1.0,7012213629.0,112.5211991,37.759867,140110119424.0,0,0,87
太原直送,BWLS006,BWLS006,108,140110119456,太原***达便利店,112.534004,37.765061,1.0,2.0,111.0,38.0,2.40263349014555,2.392122583430873,0.208989778326592,太原直送,0.208989778326592,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇西寨南街万科翡翠公园,112.52767513248207,37.76448665146268,173_66,112.52964258156828,37.76309614362391,1.0,4226852869.0,112.5296348,37.7640959,140110119456.0,0,0,87
太原直送,BWLS007,BWLS007,202,140110119461,太原***轩便利店,112.524703,37.770976,1.0,2.0,111.0,40.5,2.3999595179012925,2.394581657795364,0.2029835244274776,太原直送,0.2029835244274776,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇健康西路西寨社区,112.51834330057166,37.77037764604352,171_68,112.51805672513396,37.77208935403676,1.0,7012247665.0,112.5182932,37.7714636,140110119461.0,0,0,87
太原直送,BWLS007,BWLS007,69,140110119496,（金***亮金虎便利店,112.533537,37.76474,1.0,2.0,111.0,31.0,2.403084838965322,2.392680172219011,0.2092961603685025,太原直送,0.2092961603685025,山西省,太原市,晋源区,金胜镇,山西省太原市晋源区金胜镇西寨南街万科翡翠公园,112.52720672178155,37.76416443483368,173_66,112.52964258156828,37.76309614362391,1.0,4226852865.0,112.5256849,37.7641021,140110119496.0,0,0,87
