station_name,line_code,line_name,deliver_no,customer_code,customer_name,longitude,latitude,order_cycle_type,order_weekday,city_village_code,avg_order_qty,distance_to_平城直送,distance_to_灵丘中转站,distance_to_太原直送,nearest_station,distance_to_station,province,city,district,township,full_address,lon_84,lat_84,grid_id,LonGridCenter,LatGridCenter,group,customer_osmid_mapping,OSM_X,OSM_Y,BB_RETAIL_CUSTOMER_CODE,kmeans_cluster,dbscan_label,kmeans_label
太原直送,AWLS005,AWLS005,169,140109105462,太原***贵英商店,112.489843,37.825102,1.0,1.0,112.0,22.67,2.360264302014713,2.382313523513228,0.1534801152625307,太原直送,0.1534801152625307,山西省,太原市,万柏林区,神堂沟街道,山西省太原市万柏林区神堂沟街道德育路,112.48335036014008,37.82440816820751,165_80,112.48329915583102,37.82604861651383,1.0,5764446004.0,112.4864755,37.8224837,140109105462.0,0,0,45
太原直送,AWLS005,AWLS005,31,140109105772,太原***秋花商店,112.488801,37.834175,1.0,1.0,112.0,43.67,2.3520815041022693,2.376897902954396,0.1449714726696236,太原直送,0.1449714726696236,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街龙湖天钜,112.48230345548517,37.83347945618702,165_82,112.48329915583102,37.83504182692668,1.0,12231761992.0,112.4835953,37.8333603,140109105772.0,0,0,45
太原直送,AWLS005,AWLS005,191,140109105915,太原***根莲商店,112.486746,37.83415,1.0,1.0,112.0,32.33,2.3528039799715565,2.378422313439941,0.1455546016380092,太原直送,0.1455546016380092,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪社区村务监督委员会裕峰花园,112.48024094731724,37.83344841899945,164_82,112.47750622761386,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109105915.0,0,0,45
太原直送,AWLS005,AWLS005,179,140109110982,太原***食便利店,112.488093,37.833954,1.0,1.0,112.0,21.67,2.352529972153594,2.3775673787672087,0.1453738632664052,太原直送,0.1453738632664052,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街裕峰花园,112.48159288847935,37.83325633889126,165_82,112.48329915583102,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109110982.0,0,0,45
太原直送,AWLS005,AWLS005,168,140109117685,太原***合便利店,112.487433,37.834047,1.0,1.0,112.0,60.67,2.352666989988173,2.377988281793881,0.1454637769893261,太原直送,0.1454637769893261,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街裕峰花园,112.48093046505582,37.83334741540581,165_82,112.48329915583102,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109117685.0,0,0,45
太原直送,AWLS005,AWLS005,172,140109119049,太原***百货超市,112.487873,37.833966,1.0,1.0,112.0,33.0,2.3525934922942,2.3777205818283247,0.1454217897324917,太原直送,0.1454217897324917,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街裕峰花园,112.48137208236878,37.83326769432955,165_82,112.48329915583102,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109119049.0,0,0,45
太原直送,AWLS005,AWLS005,195,140109119185,太原***副食商店,112.489843,37.825102,1.0,1.0,112.0,42.33,2.360264302014713,2.382313523513228,0.1534801152625307,太原直送,0.1534801152625307,山西省,太原市,万柏林区,神堂沟街道,山西省太原市万柏林区神堂沟街道德育路,112.48335036014008,37.82440816820751,165_80,112.48329915583102,37.82604861651383,1.0,5764446004.0,112.4864755,37.8224837,140109119185.0,0,0,45
太原直送,AWLS005,AWLS005,181,140109119388,太原***烟酒商行,112.488093,37.833954,1.0,1.0,112.0,91.67,2.352529972153594,2.3775673787672087,0.1453738632664052,太原直送,0.1453738632664052,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街裕峰花园,112.48159288847935,37.83325633889126,165_82,112.48329915583102,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109119388.0,0,0,45
太原直送,AWLS005,AWLS005,196,140109120062,太原***鲜便利店,112.487044,37.833576,1.0,1.0,112.0,33.67,2.353242252245612,2.3785937389442946,0.1460235484091507,太原直送,0.1460235484091507,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪社区裕峰花园南小区,112.4805401017158,37.83287520331834,165_82,112.48329915583102,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109120062.0,0,0,45
太原直送,AWLS005,AWLS005,197,140109120734,太原***烟酒商行,112.497058,37.833556,1.0,1.0,112.0,81.0,2.3498719465217666,2.371271309379212,0.1436059364859246,太原直送,0.1436059364859246,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街公园美地,112.49059106958858,37.83288492599987,166_82,112.48909208404818,37.83504182692668,1.0,5764445983.0,112.49383,37.8324377,140109120734.0,0,0,45
太原直送,AWLS005,AWLS005,184,140109120789,太原***食经销部,112.489975,37.829729,1.0,1.0,111.0,48.33,2.355865635548002,2.3790630887525843,0.1489641262854898,太原直送,0.1489641262854898,山西省,太原市,万柏林区,神堂沟街道,山西省太原市万柏林区神堂沟街道新城·长风悦府(东门),112.4834822956888,37.8290362461058,165_81,112.48329915583102,37.83054522172026,1.0,12231761992.0,112.4835953,37.8333603,140109120789.0,0,0,45
太原直送,AWLS005,AWLS005,193,140109120899,太原***食便利店,112.486294,37.833641,1.0,1.0,112.0,35.33,2.353436487668404,2.379099795456254,0.1461696589754504,太原直送,0.1461696589754504,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪社区裕峰花园南小区,112.4797873627302,37.83293801996128,164_82,112.47750622761386,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109120899.0,0,0,45
太原直送,AWLS005,AWLS005,176,140109121094,（唐***佳唐久便利店,112.487747,37.833673,1.0,1.0,111.0,55.67,2.35291187833714,2.3780121597538155,0.1457379806913777,太原直送,0.1457379806913777,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街裕峰花园南小区,112.48124565661756,37.83297427948128,165_82,112.48329915583102,37.83504182692668,1.0,11036940001.0,112.4797954,37.8336823,140109121094.0,0,0,45
太原直送,AWLS005,AWLS005,194,140109121130,太原***朴便利店,112.495044,37.830867,1.0,1.0,112.0,48.0,2.353082106631432,2.374578010747178,0.1466654007494632,太原直送,0.1466654007494632,山西省,太原市,万柏林区,神堂沟街道,山西省太原市万柏林区神堂沟街道依米亚全屋定制工厂店,112.48856990406934,37.83018949239111,166_81,112.48909208404818,37.83054522172026,1.0,5764445979.0,112.4936273,37.829088,140109121130.0,0,0,45
太原直送,AWLS005,AWLS005,149,140109121277,太原***怡百货店,112.495497,37.833509,1.0,1.0,111.0,34.67,2.3504420102065904,2.3724455993815736,0.1439885202785268,太原直送,0.1439885202785268,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街,112.48902427297864,37.83283324781308,166_82,112.48909208404818,37.83504182692668,1.0,11036945410.0,112.4938211,37.8323574,140109121277.0,0,0,45
太原直送,AWLS005,AWLS005,189,140109121279,太原***酒便利店,112.489164,37.834357,1.0,1.0,111.0,63.33,2.351787019074857,2.3765079682896064,0.1446999379301878,太原直送,0.1446999379301878,山西省,太原市,万柏林区,小井峪街道,山西省太原市万柏林区小井峪街道大井峪街龙湖天钜,112.48266776554478,37.83366255412326,165_82,112.48329915583102,37.83504182692668,1.0,12231761993.0,112.4836023,37.8334737,140109121279.0,0,0,45
